nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
384 436 47 463 116 1308 1187
385 435 47 461 115 1309 1184
386 479 51 509 124 1412 1283
387 452 48 478 119 1353 1230
388 443 48 471 117 1341 1214
389 448 48 478 118 1357 1208
390 446 48 474 118 1350 1230
391 456 48 485 121 1380 1239
392 454 48 481 121 1383 1218
393 454 48 482 118 1376 1241
394 457 48 483 119 1382 1236
395 461 49 489 120 1385 1258
396 463 48 493 120 1399 1252
397 465 49 497 120 1399 1277
398 464 49 492 120 1411 1268
399 471 49 498 120 1428 1274
400 470 49 500 121 1426 1282
401 473 49 502 122 1443 1288
402 480 49 510 122 1448 1287
403 481 49 511 123 1468 1299
404 480 49 513 122 1458 1314
405 482 50 514 123 1453 1322
406 486 50 512 123 1471 1304
407 492 51 515 126 1486 1319
408 490 50 520 125 1477 1337
409 489 50 522 123 1496 1324
410 495 50 526 125 1509 1336
411 499 50 531 126 1504 1339
412 500 51 529 125 1530 1325
413 501 51 528 128 1526 1363
414 503 51 533 128 1537 1353
415 505 51 539 127 1536 1354
416 508 51 540 126 1532 1383
417 509 51 541 127 1546 1384
418 512 51 545 129 1556 1395
419 517 52 550 131 1570 1391
420 521 51 552 129 1584 1391
421 523 52 553 131 1578 1411
422 524 52 553 128 1587 1415
423 526 52 560 131 1581 1421
424 530 52 558 130 1597 1431
425 530 53 561 130 1611 1434
426 532 52 564 132 1614 1433
427 535 53 567 131 1615 1451
428 538 55 570 135 1629 1451
429 541 53 573 133 1626 1469
430 546 53 575 133 1638 1474
431 548 54 577 133 1650 1471
432 550 53 581 134 1654 1481
433 551 53 581 138 1665 1498
434 553 54 584 134 1667 1495
435 557 55 589 134 1661 1518
436 557 53 589 137 1681 1506
437 559 53 591 134 1687 1511
438 564 53 595 136 1712 1511
439 565 55 597 136 1697 1544
440 571 55 603 141 1711 1532
441 570 55 603 138 1716 1537
442 574 55 609 138 1749 1526
443 578 55 611 139 1744 1559
444 580 55 613 137 1742 1561
445 584 55 613 140 1760 1561
446 585 55 616 144 1767 1572
447 587 55 622 141 1756 1601
448 590 56 622 142 1775 1577
449 594 56 626 142 1800 1590
450 595 54 628 140 1794 1596
451 599 55 629 142 1794 1620
452 600 56 636 141 1813 1616
453 603 56 636 143 1815 1614
454 606 56 637 142 1811 1632
455 612 57 644 143 1823 1648
456 613 57 644 143 1831 1653
457 611 56 641 143 1832 1647
458 613 57 646 145 1840 1665
459 620 56 653 145 1849 1671
460 623 56 655 145 1877 1677
461 622 58 660 148 1876 1681
462 627 59 662 145 1896 1684
463 632 57 668 146 1915 1697
464 631 58 667 146 1889 1714
465 636 59 668 145 1913 1706
466 641 58 671 148 1929 1729
467 638 58 672 147 1921 1739
468 645 58 678 151 1947 1742
469 645 60 677 149 1946 1751
470 651 59 684 149 1966 1756
471 654 58 687 151 1968 1767
472 654 59 688 149 1984 1774
473 659 59 694 150 2012 1777
474 660 59 693 151 2001 1805
475 663 59 699 151 2008 1808
476 668 59 702 152 2029 1804
477 671 60 707 152 2027 1842
478 669 59 706 150 2017 1822
479 674 59 708 152 2058 1821
480 678 60 714 156 2070 1855
481 677 59 714 154 2063 1856
482 685 60 717 154 2102 1851
483 686 60 722 155 2091 1875
484 687 60 723 155 2101 1871
485 693 61 728 155 2118 1887
486 692 60 728 154 2101 1885
487 696 60 732 159 2128 1866
488 701 61 734 157 2115 1932
489 703 61 741 158 2131 1921
490 704 61 742 157 2145 1915
491 707 61 740 158 2168 1914
492 715 61 746 157 2163 1924
493 718 62 753 159 2185 1942
494 717 65 755 158 2183 1956
495 717 61 758 159 2189 1972
496 721 62 759 162 2196 1957
497 727 61 761 160 2198 1976
498 727 62 764 160 2220 1975
499 732 63 768 161 2234 1997
500 734 62 770 162 2233 1995
501 735 62 771 162 2230 2002
502 742 62 774 160 2245 2010
503 746 63 780 162 2257 2008
504 748 62 789 163 2257 2039
505 748 63 787 164 2268 2034
506 750 62 788 163 2278 2048
507 754 63 796 163 2289 2041
508 758 64 792 164 2294 2053
509 763 64 798 166 2314 2063
510 765 66 803 165 2323 2078
511 764 63 800 166 2321 2076
512 772 63 808 166 2349 2084
513 773 64 808 167 2349 2104
514 773 64 813 168 2344 2093
515 781 64 818 166 2379 2095
516 782 65 820 167 2386 2124
517 785 64 822 168 2376 2134
518 787 65 824 169 2410 2117
519 817 67 857 173 2464 2200
520 803 66 836 172 2419 2160
521 800 66 838 170 2423 2151
522 801 65 841 170 2422 2171
523 805 65 842 170 2430 2170
524 807 65 845 172 2428 2190
525 809 65 853 172 2443 2195
526 810 65 850 170 2456 2196
527 813 66 856 176 2474 2200
528 814 66 854 173 2456 2185
529 820 67 862 174 2490 2207
530 821 67 859 175 2488 2205
531 825 67 864 173 2487 2240
532 826 67 863 174 2494 2237
533 832 67 871 175 2511 2239
534 832 68 873 174 2504 2252
535 835 67 873 176 2516 2264
536 840 68 880 176 2535 2264
537 842 68 884 178 2567 2280
538 847 68 886 176 2556 2279
539 852 70 890 178 2577 2294
540 854 69 892 179 2577 2305
541 858 69 894 178 2588 2322
542 858 70 902 180 2617 2295
543 860 69 902 179 2596 2328
544 859 69 903 182 2597 2320
545 866 70 909 181 2632 2336
546 871 69 911 184 2650 2348
547 876 70 917 181 2643 2354
548 879 69 918 184 2653 2365
549 882 70 924 184 2655 2384
550 887 70 927 183 2668 2390
551 887 70 928 183 2678 2389
552 888 70 928 182 2678 2394
553 895 70 936 185 2720 2409
554 897 70 941 184 2713 2405
555 899 71 940 186 2732 2411
556 905 70 944 185 2733 2439
557 905 71 950 188 2731 2438
558 907 71 951 185 2740 2450
559 914 71 960 186 2755 2459
560 920 72 959 190 2766 2469
561 921 71 963 191 2778 2477
562 924 71 966 187 2796 2491
563 927 72 967 188 2799 2475
564 929 71 971 189 2785 2510
565 935 73 976 190 2829 2508
566 936 72 981 193 2831 2520
567 940 73 984 189 2850 2529
568 945 72 987 191 2872 2537
569 943 72 984 192 2860 2547
570 946 73 990 190 2872 2556
571 954 73 995 191 2905 2563
572 954 72 996 190 2865 2576
573 963 73 1002 193 2911 2586
574 963 73 1006 196 2928 2612
575 968 73 1014 194 2942 2608
576 966 73 1012 196 2944 2630
577 976 73 1018 194 2965 2654
578 975 75 1021 196 2976 2656
579 985 74 1020 195 2977 2658
580 982 74 1025 196 2995 2668
581 988 74 1031 196 3012 2689
582 991 75 1039 198 3025 2677
583 991 74 1035 195 3020 2710
584 989 74 1033 197 3030 2690
585 1001 75 1045 198 3072 2713
586 1004 74 1046 197 3067 2716
587 1011 75 1054 198 3080 2751
588 1009 75 1053 198 3086 2746
