nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
383 909 96 956 231 2626 2316
384 989 100 1034 243 2754 2432
385 946 99 1001 238 2711 2382
386 921 96 964 231 2647 2333
387 963 99 1007 241 2703 2431
388 965 98 1029 240 2757 2411
389 1064 109 1130 263 3072 2677
390 892 92 932 226 2557 2302
391 884 91 925 223 2572 2274
392 899 93 944 224 2614 2304
393 941 97 982 233 2731 2398
394 1028 105 1067 252 2923 2612
395 1003 102 1046 249 2897 2562
396 990 99 1028 241 2798 2488
397 917 93 964 227 2638 2328
398 1015 100 1061 246 2888 2609
399 1012 101 1049 245 2893 2536
400 914 92 954 224 2659 2351
401 1017 103 1063 248 2928 2598
402 1035 104 1071 250 2965 2614
403 989 98 1027 238 2812 2507
404 922 93 960 228 2662 2383
405 1008 101 1047 243 2918 2560
406 989 99 1025 237 2861 2533
407 1078 105 1109 254 3046 2706
408 1080 104 1110 254 3026 2684
409 1174 112 1228 273 3247 2912
410 1104 107 1143 260 3136 2750
411 1031 99 1075 244 2945 2559
412 914 90 964 224 2701 2381
413 1013 98 1051 248 2920 2543
414 1237 117 1287 289 3421 3054
415 1169 112 1216 278 3286 2916
416 1025 100 1068 244 2940 2593
417 1023 99 1056 240 2917 2600
418 1300 121 1350 302 3619 3206
419 1149 110 1207 274 3329 2944
420 1245 117 1293 294 3523 3120
421 1092 115 1147 259 3161 2791
422 1460 133 1495 341 4078 3598
423 1329 122 1345 297 3629 3319
424 1245 115 1290 291 3513 3143
425 1078 106 1123 253 3105 2772
426 1124 106 1162 261 3178 2866
427 1072 102 1107 248 3078 2713
428 1049 99 1090 247 2998 2675
429 1219 112 1252 276 3401 3050
430 1093 103 1135 253 3144 2763
431 1113 105 1162 256 3216 2832
432 1201 112 1243 276 3446 3056
433 1171 108 1202 267 3293 2938
434 1079 99 1112 249 3078 2748
435 1180 110 1229 277 3384 2987
436 1116 105 1156 255 3173 2844
437 1114 104 1160 255 3178 2871
438 1105 101 1143 250 3160 2818
439 1263 113 1341 281 3526 3130
440 1461 134 1516 326 4127 3632
441 1115 103 1159 255 3200 2838
442 1156 105 1182 258 3254 2921
443 1151 105 1185 262 3256 2943
444 1121 102 1144 251 3209 2838
445 1127 102 1154 251 3219 2887
446 1278 114 1320 283 3595 3198
447 1156 106 1207 262 3323 2950
448 1206 109 1254 270 3465 3090
449 1670 142 1710 354 4469 3979
450 1774 146 1823 366 4649 4177
451 1430 125 1479 315 3974 3540
452 1691 144 1734 358 4551 4059
453 1195 107 1236 267 3434 3043
454 1173 104 1212 260 3389 3006
455 1183 105 1214 261 3372 3024
456 1236 109 1273 273 3545 3103
457 1225 108 1263 269 3475 3151
458 1357 119 1403 297 3799 3368
459 1176 104 1210 260 3357 2994
460 1156 102 1186 254 3352 2944
461 1294 114 1332 283 3698 3265
462 1408 123 1455 305 4006 3524
463 1295 114 1342 285 3698 3316
464 1719 142 1760 356 4605 4124
465 1430 126 1472 304 3944 3515
466 1572 133 1580 326 4317 3906
467 1506 129 1535 323 4191 3781
468 1453 124 1493 310 4042 3636
469 1268 109 1299 273 3591 3251
470 1561 131 1595 336 4381 3908
471 1536 130 1595 326 4317 3841
472 1387 119 1436 299 4002 3526
473 1365 117 1429 296 3893 3508
474 1330 114 1370 287 3806 3396
475 1339 114 1361 284 3841 3448
476 1423 121 1468 299 3957 3591
477 1314 110 1344 282 3771 3376
478 1312 111 1346 280 3782 3373
479 1425 119 1455 301 4060 3624
480 1623 135 1672 336 4508 4076
481 1535 130 1582 322 4335 3892
482 1489 129 1520 310 4185 3773
483 1454 125 1511 307 4169 3705
484 1673 138 1719 351 4758 4248
485 1335 111 1374 285 3918 3456
486 1345 112 1376 286 3924 3492
487 1366 114 1404 288 3972 3522
488 1487 123 1541 312 4273 3823
489 1416 117 1443 295 4079 3649
490 1434 118 1468 299 4136 3706
491 1408 116 1445 293 4045 3600
492 1445 120 1492 304 4184 3722
493 1454 120 1481 302 4175 3744
494 1591 128 1615 322 4465 4023
495 1712 138 1759 352 4857 4316
496 1828 146 1872 377 5094 4559
497 1622 132 1657 337 4607 4166
498 1547 125 1598 317 4401 3944
499 1417 115 1451 294 4113 3700
500 1406 115 1444 291 4117 3643
501 1412 116 1449 291 4098 3652
502 1567 125 1596 318 4444 3993
503 1452 118 1487 301 4187 3793
504 1409 113 1435 289 4082 3680
505 1453 118 1487 298 4163 3803
506 1461 117 1500 301 4246 3746
507 1430 115 1464 292 4156 3720
508 1448 124 1474 296 4188 3757
509 1555 124 1587 315 4474 3998
510 1521 120 1563 310 4375 3923
511 1481 118 1509 299 4233 3820
512 1629 135 1672 349 4676 4131
513 1577 125 1601 315 4491 3959
514 1623 127 1660 319 4587 4063
515 1570 124 1612 316 4534 3959
516 1531 120 1561 310 4454 3866
517 1640 128 1684 323 4674 4140
518 1534 119 1558 309 4412 3895
519 1495 116 1522 297 4331 3803
520 1655 129 1689 328 4776 4172
521 1545 120 1578 307 4450 3926
522 1649 127 1679 325 4708 4085
523 1604 124 1629 315 4627 4043
524 1668 129 1712 331 4774 4209
525 1709 130 1735 332 4887 4284
526 1638 127 1674 324 4728 4114
527 1594 123 1621 318 4611 4055
528 1588 130 1636 331 4612 4119
529 1584 124 1620 314 4591 4072
530 1603 123 1615 313 4626 4050
531 1631 126 1664 320 4696 4179
532 1603 123 1630 317 4610 4134
533 1612 123 1635 318 4626 4096
534 1649 127 1679 324 4764 4207
535 2183 160 2253 412 5990 5352
536 2079 155 2126 398 5786 5152
537 1819 137 1864 356 5183 4564
538 1800 137 1832 351 5171 4547
539 1757 135 1803 347 5060 4481
540 1913 146 1963 374 5417 4794
541 1777 135 1815 346 5060 4480
542 1950 146 1990 377 5472 4804
543 2018 152 2085 388 5690 4938
