nDisque jeu1_TTP jeu1Bal jeu2_TTP jeu2Bal jeu3_TTP jeu3Bal
301 50 50 676 676 29080 29080
302 50 50 677 677 29246 29246
303 51 51 682 682 29432 29432
304 50 50 683 683 29626 29626
305 50 50 683 683 29866 29866
306 51 51 687 687 30065 30065
307 51 51 695 695 30206 30206
308 50 50 690 690 30422 30422
309 50 50 694 694 30667 30667
310 51 51 694 694 30845 30845
311 51 51 701 701 31065 31065
312 51 51 702 702 31249 31249
313 51 51 702 702 31495 31495
314 51 51 707 707 31648 31648
315 51 51 709 709 31833 31833
316 51 51 716 716 32068 32068
317 51 51 712 712 32242 32242
318 50 50 720 720 32481 32481
319 51 51 717 717 32635 32635
320 51 51 727 727 32915 32915
321 51 51 725 725 33072 33072
322 51 51 727 727 33329 33329
323 51 51 728 728 33524 33524
324 51 51 733 733 33654 33654
325 51 51 734 734 33819 33819
326 51 51 735 735 34190 34190
327 51 51 737 737 34344 34344
328 52 52 744 744 34486 34486
329 51 51 743 743 34721 34721
330 51 51 748 748 35011 35011
331 51 51 751 751 35175 35175
332 51 51 754 754 35430 35430
333 51 51 753 753 35593 35593
334 52 52 754 754 35766 35766
335 51 51 756 756 36062 36062
336 51 51 759 759 36259 36259
337 52 52 765 765 36470 36470
338 51 51 766 766 36631 36631
339 52 52 766 766 36864 36864
340 52 52 768 768 37122 37122
341 52 52 774 774 37320 37320
342 51 51 776 776 37570 37570
343 52 52 779 779 37698 37698
344 52 52 784 784 37992 37992
345 52 52 785 785 38225 38225
346 52 52 788 788 38375 38375
347 52 52 786 786 38664 38664
348 52 52 791 791 38878 38878
349 52 52 789 789 39159 39159
350 52 52 799 799 39358 39358
351 52 52 796 796 39540 39540
352 53 53 803 803 39888 39888
353 53 53 800 800 40081 40081
354 52 52 802 802 40273 40273
355 52 52 810 810 40485 40485
356 52 52 808 808 40741 40741
357 52 52 812 812 40885 40885
358 53 53 814 814 41159 41159
359 52 52 813 813 41280 41280
360 52 52 819 819 41628 41628
361 52 52 819 819 41850 41850
362 52 52 824 824 42070 42070
363 53 53 825 825 42330 42330
364 52 52 832 832 42558 42558
365 53 53 830 830 42782 42782
366 53 53 833 833 43002 43002
367 52 52 836 836 43289 43289
368 52 52 842 842 43570 43570
369 53 53 841 841 43687 43687
370 53 53 841 841 43939 43939
371 52 52 849 849 44306 44306
372 53 53 849 849 44506 44506
373 53 53 853 853 44829 44829
374 52 52 852 852 44948 44948
375 53 53 858 858 45242 45242
376 52 52 857 857 45406 45406
377 53 53 865 865 45634 45634
378 53 53 860 860 45894 45894
379 53 53 864 864 46153 46153
380 53 53 868 868 46366 46366
381 53 53 870 870 46677 46677
382 53 53 874 874 46956 46956
383 53 53 873 873 47058 47058
384 53 53 877 877 47371 47371
385 53 53 879 879 47609 47609
386 53 53 882 882 47887 47887
387 53 53 885 885 48102 48102
388 53 53 889 889 48359 48359
389 53 53 889 889 48599 48599
390 53 53 887 887 48839 48839
391 54 54 892 892 49098 49098
392 54 54 892 892 49355 49355
393 53 53 902 902 49587 49587
394 54 54 897 897 49865 49865
395 54 54 900 900 50175 50175
396 54 54 905 905 50369 50369
397 54 54 910 910 50666 50666
398 54 54 914 914 50908 50908
399 54 54 912 912 51148 51148
400 54 54 917 917 51437 51437
401 54 54 916 916 51643 51643
402 54 54 919 919 51957 51957
403 54 54 922 922 52183 52183
404 54 54 924 924 52465 52465
405 54 54 927 927 52727 52727
406 54 54 927 927 52900 52900
407 54 54 931 931 53326 53326
408 54 54 938 938 53483 53483
409 54 54 937 937 53756 53756
410 54 54 938 938 53966 53966
411 54 54 944 944 54293 54293
412 54 54 940 940 54563 54563
413 54 54 948 948 54764 54764
414 54 54 951 951 55145 55145
415 54 54 950 950 55358 55358
416 54 54 955 955 55679 55679
417 55 55 960 960 55916 55916
418 54 54 957 957 56251 56251
419 54 54 963 963 56536 56536
420 54 54 962 962 56641 56641
421 54 54 968 968 57044 57044
422 54 54 975 975 57281 57281
423 55 55 965 965 57592 57592
424 54 54 975 975 57765 57765
425 54 54 976 976 58073 58073
426 55 55 978 978 58363 58363
427 54 54 985 985 58586 58586
428 55 55 979 979 58964 58964
429 55 55 989 989 59175 59175
430 54 54 988 988 59365 59365
431 55 55 988 988 59668 59668
432 55 55 999 999 60059 60059
433 55 55 995 995 60292 60292
434 55 55 1000 1000 60519 60519
435 55 55 998 998 60797 60797
436 55 55 999 999 61076 61076
437 55 55 1010 1010 61352 61352
438 55 55 1002 1002 61663 61663
439 55 55 1014 1014 61911 61911
440 55 55 1017 1017 62166 62166
441 55 55 1015 1015 62554 62554
442 55 55 1021 1021 62951 62951
443 55 55 1018 1018 63030 63030
444 55 55 1024 1024 63331 63331
445 56 56 1024 1024 63681 63681
446 55 55 1032 1032 64007 64007
447 55 55 1027 1027 64254 64254
448 55 55 1036 1036 64521 64521
449 55 55 1034 1034 64783 64783
450 55 55 1034 1034 65163 65163
451 55 55 1043 1043 65313 65313
452 55 55 1041 1041 65720 65720
453 55 55 1041 1041 66107 66107
454 56 56 1042 1042 66348 66348
455 56 56 1051 1051 66565 66565
456 56 56 1049 1049 66838 66838
457 55 55 1056 1056 67126 67126
458 55 55 1056 1056 67380 67380
459 55 55 1060 1060 67651 67651
460 56 56 1062 1062 67914 67914
461 56 56 1068 1068 68471 68471
462 56 56 1068 1068 68628 68628
463 56 56 1068 1068 68910 68910
464 56 56 1074 1074 69166 69166
465 55 55 1075 1075 69475 69475
466 56 56 1076 1076 69970 69970
467 56 56 1075 1075 70130 70130
468 56 56 1085 1085 70477 70477
469 56 56 1083 1083 70779 70779
470 56 56 1093 1093 70993 70993
471 56 56 1091 1091 71445 71445
472 56 56 1092 1092 71700 71700
473 56 56 1096 1096 71984 71984
474 56 56 1094 1094 72257 72257
475 56 56 1094 1094 72596 72596
476 56 56 1099 1099 72844 72844
477 56 56 1100 1100 73260 73260
478 56 56 1112 1112 73535 73535
479 56 56 1110 1110 73783 73783
480 56 56 1112 1112 74183 74183
481 56 56 1114 1114 74431 74431
482 57 57 1116 1116 74748 74748
483 56 56 1121 1121 75079 75079
484 56 56 1123 1123 75457 75457
485 57 57 1128 1128 75740 75740
486 56 56 1126 1126 76083 76083
487 56 56 1125 1125 76288 76288
488 56 56 1131 1131 76571 76571
489 57 57 1132 1132 76879 76879
490 56 56 1142 1142 77275 77275
491 57 57 1138 1138 77582 77582
492 56 56 1139 1139 77829 77829
493 56 56 1144 1144 78150 78150
494 56 56 1147 1147 78551 78551
495 56 56 1151 1151 78838 78838
496 57 57 1151 1151 79170 79170
497 57 57 1155 1155 79539 79539
498 57 57 1160 1160 79689 79689
499 56 56 1164 1164 80040 80040
500 56 56 1160 1160 80373 80373
501 57 57 1163 1163 80706 80706
502 57 57 1164 1164 81172 81172
503 56 56 1170 1170 81364 81364
504 57 57 1167 1167 81663 81663
505 57 57 1175 1175 81944 81944
506 57 57 1179 1179 82453 82453
507 56 56 1182 1182 82693 82693
508 57 57 1183 1183 83000 83000
509 57 57 1186 1186 83358 83358
510 57 57 1181 1181 83752 83752
511 57 57 1191 1191 83938 83938
512 57 57 1191 1191 84446 84446
513 56 56 1191 1191 84539 84539
514 57 57 1197 1197 85037 85037
515 57 57 1199 1199 85421 85421
516 57 57 1201 1201 85711 85711
517 57 57 1207 1207 86035 86035
518 57 57 1207 1207 86316 86316
519 57 57 1214 1214 86820 86820
520 58 58 1207 1207 86896 86896
521 57 57 1210 1210 87369 87369
522 57 57 1215 1215 87665 87665
523 57 57 1216 1216 87984 87984
524 56 56 1221 1221 88369 88369
525 57 57 1217 1217 88635 88635
526 57 57 1221 1221 89095 89095
527 57 57 1233 1233 89256 89256
528 58 58 1235 1235 89611 89611
529 57 57 1228 1228 89981 89981
530 57 57 1236 1236 90470 90470
531 58 58 1233 1233 90659 90659
532 57 57 1244 1244 91111 91111
533 57 57 1238 1238 91449 91449
534 57 57 1244 1244 91761 91761
535 57 57 1247 1247 91999 91999
536 57 57 1251 1251 92326 92326
537 57 57 1248 1248 92869 92869
538 57 57 1253 1253 93115 93115
539 58 58 1250 1250 93514 93514
540 58 58 1259 1259 93743 93743
541 58 58 1260 1260 94159 94159
542 58 58 1262 1262 94389 94389
543 57 57 1267 1267 94831 94831
544 58 58 1269 1269 95314 95314
545 58 58 1273 1273 95444 95444
546 57 57 1273 1273 95803 95803
547 58 58 1275 1275 96216 96216
548 57 57 1282 1282 96687 96687
549 58 58 1281 1281 96837 96837
550 58 58 1276 1276 97303 97303
551 58 58 1292 1292 97884 97884
552 57 57 1292 1292 98129 98129
553 58 58 1293 1293 98223 98223
554 57 57 1291 1291 98701 98701
555 58 58 1297 1297 99104 99104
556 58 58 1297 1297 99499 99499
557 58 58 1298 1298 99847 99847
558 58 58 1303 1303 100206 100206
559 58 58 1306 1306 100596 100596
560 58 58 1305 1305 100903 100903
561 58 58 1314 1314 101283 101283
562 58 58 1313 1313 101662 101662
563 58 58 1316 1316 101967 101967
564 58 58 1324 1324 102511 102511
565 58 58 1320 1320 102589 102589
566 58 58 1329 1329 102941 102941
